Hugo_Symbol,SEQ_ASSAY_ID
FGFR4,GRCC-MOSC3
FLT1,GRCC-MOSC3
FLT3,GRCC-MOSC3
GNA11,GRCC-MOSC3
GNAQ,GRCC-MOSC3
GNAS,GRCC-MOSC3
HNF1A,GRCC-MOSC3
HRAS,GRCC-MOSC3
IDH1,GRCC-MOSC3
IDH2,GRCC-MOSC3
INPP4B,GRCC-MOSC3
JAK2,GRCC-MOSC3
JAK3,GRCC-MOSC3
KDR,GRCC-MOSC3
KEAP1,GRCC-MOSC3
KIT,GRCC-MOSC3
KRAS,GRCC-MOSC3
MAP2K1,GRCC-MOSC3
MAP2K4,GRCC-MOSC3
MAP3K1,GRCC-MOSC3
MET,GRCC-MOSC3
MLH1,GRCC-MOSC3
MPL,GRCC-MOSC3
MTOR,GRCC-MOSC3
NF1,GRCC-MOSC3
NFE2L2,GRCC-MOSC3
NOTCH1,GRCC-MOSC3
NOTCH2,GRCC-MOSC3
NOTCH4,GRCC-MOSC3
NPM1,GRCC-MOSC3
NRAS,GRCC-MOSC3
PDGFRA,GRCC-MOSC3
PIK3CA,GRCC-MOSC3
PIK3R1,GRCC-MOSC3
PPP2R1A,GRCC-MOSC3
PTEN,GRCC-MOSC3
PTPN11,GRCC-MOSC3
RB1,GRCC-MOSC3
RET,GRCC-MOSC3
ROS1,GRCC-MOSC3
SMAD4,GRCC-MOSC3
SMARCB1,GRCC-MOSC3
SMO,GRCC-MOSC3
SRC,GRCC-MOSC3
STK11,GRCC-MOSC3
TP53,GRCC-MOSC3
TSC1,GRCC-MOSC3
TSC2,GRCC-MOSC3
VHL,GRCC-MOSC3
ABL1,NKI-TSACP-MISEQ-NGS
AKT1,NKI-TSACP-MISEQ-NGS
ALK,NKI-TSACP-MISEQ-NGS
APC,NKI-TSACP-MISEQ-NGS
ATM,NKI-TSACP-MISEQ-NGS
BRAF,NKI-TSACP-MISEQ-NGS
CDH1,NKI-TSACP-MISEQ-NGS
CDKN2A,NKI-TSACP-MISEQ-NGS
CSF1R,NKI-TSACP-MISEQ-NGS
CTNNB1,NKI-TSACP-MISEQ-NGS
EGFR,NKI-TSACP-MISEQ-NGS
ERBB2,NKI-TSACP-MISEQ-NGS
ERBB4,NKI-TSACP-MISEQ-NGS
FBXW7,NKI-TSACP-MISEQ-NGS
FGFR1,NKI-TSACP-MISEQ-NGS
FGFR2,NKI-TSACP-MISEQ-NGS
FGFR3,NKI-TSACP-MISEQ-NGS
FLT3,NKI-TSACP-MISEQ-NGS
GNA11,NKI-TSACP-MISEQ-NGS
GNAQ,NKI-TSACP-MISEQ-NGS
GNAS,NKI-TSACP-MISEQ-NGS
HNF1A,NKI-TSACP-MISEQ-NGS
HRAS,NKI-TSACP-MISEQ-NGS
IDH1,NKI-TSACP-MISEQ-NGS
JAK2,NKI-TSACP-MISEQ-NGS
JAK3,NKI-TSACP-MISEQ-NGS
KDR,NKI-TSACP-MISEQ-NGS
KIT,NKI-TSACP-MISEQ-NGS
KRAS,NKI-TSACP-MISEQ-NGS
MET,NKI-TSACP-MISEQ-NGS
MLH1,NKI-TSACP-MISEQ-NGS
MPL,NKI-TSACP-MISEQ-NGS
NOTCH1,NKI-TSACP-MISEQ-NGS
NPM1,NKI-TSACP-MISEQ-NGS
NRAS,NKI-TSACP-MISEQ-NGS
PDGFRA,NKI-TSACP-MISEQ-NGS
PIK3CA,NKI-TSACP-MISEQ-NGS
PTEN,NKI-TSACP-MISEQ-NGS
PTPN11,NKI-TSACP-MISEQ-NGS
RB1,NKI-TSACP-MISEQ-NGS
RET,NKI-TSACP-MISEQ-NGS
SMAD4,NKI-TSACP-MISEQ-NGS
SMARCB1,NKI-TSACP-MISEQ-NGS
SMO,NKI-TSACP-MISEQ-NGS
SRC,NKI-TSACP-MISEQ-NGS
STK11,NKI-TSACP-MISEQ-NGS
TP53,NKI-TSACP-MISEQ-NGS
VHL,NKI-TSACP-MISEQ-NGS
ABL1,VICC-01-DX1
ACVR1B,VICC-01-DX1
AKT1,VICC-01-DX1
AKT2,VICC-01-DX1
AKT3,VICC-01-DX1
ALK,VICC-01-DX1
ALOX12B,VICC-01-DX1
AMER1,VICC-01-DX1
APC,VICC-01-DX1
ARAF,VICC-01-DX1
ARFRP1,VICC-01-DX1
ARID1A,VICC-01-DX1
AR,VICC-01-DX1
ASXL1,VICC-01-DX1
ATM,VICC-01-DX1
ATR,VICC-01-DX1
ATRX,VICC-01-DX1
AURKA,VICC-01-DX1
AURKB,VICC-01-DX1
AXIN1,VICC-01-DX1
AXL,VICC-01-DX1
BAP1,VICC-01-DX1
BARD1,VICC-01-DX1
BCL2L1,VICC-01-DX1
BCL2L2,VICC-01-DX1
BCL2,VICC-01-DX1
BCL6,VICC-01-DX1
BCORL1,VICC-01-DX1
BCOR,VICC-01-DX1
BCR,VICC-01-DX1
BRAF,VICC-01-DX1
BRCA1,VICC-01-DX1
BRCA2,VICC-01-DX1
BRD4,VICC-01-DX1
BRIP1,VICC-01-DX1
BTG1,VICC-01-DX1
BTG2,VICC-01-DX1
BTK,VICC-01-DX1
CALR,VICC-01-DX1
CARD11,VICC-01-DX1
CASP8,VICC-01-DX1
CBFB,VICC-01-DX1
CBL,VICC-01-DX1
CCND1,VICC-01-DX1
CCND2,VICC-01-DX1
CCND3,VICC-01-DX1
CCNE1,VICC-01-DX1
CD22,VICC-01-DX1
CD274,VICC-01-DX1
CD70,VICC-01-DX1
CD79A,VICC-01-DX1
CD79B,VICC-01-DX1
CDC73,VICC-01-DX1
CDH1,VICC-01-DX1
CDK12,VICC-01-DX1
CDK4,VICC-01-DX1
CDK6,VICC-01-DX1
CDK8,VICC-01-DX1
CDKN1A,VICC-01-DX1
CDKN1B,VICC-01-DX1
CDKN2A,VICC-01-DX1
CDKN2B,VICC-01-DX1
CDKN2C,VICC-01-DX1
CEBPA,VICC-01-DX1
CHEK1,VICC-01-DX1
CHEK2,VICC-01-DX1
CIC,VICC-01-DX1
CREBBP,VICC-01-DX1
CRKL,VICC-01-DX1
CSF1R,VICC-01-DX1
CSF3R,VICC-01-DX1
CTCF,VICC-01-DX1
CTNNA1,VICC-01-DX1
CTNNB1,VICC-01-DX1
CUL3,VICC-01-DX1
CUL4A,VICC-01-DX1
CXCR4,VICC-01-DX1
CYP17A1,VICC-01-DX1
DAXX,VICC-01-DX1
DDR1,VICC-01-DX1
DDR2,VICC-01-DX1
DIS3,VICC-01-DX1
DNMT3A,VICC-01-DX1
DOT1L,VICC-01-DX1
EED,VICC-01-DX1
EGFR,VICC-01-DX1
EP300,VICC-01-DX1
EPHA3,VICC-01-DX1
EPHB1,VICC-01-DX1
EPHB4,VICC-01-DX1
ERBB2,VICC-01-DX1
ERBB3,VICC-01-DX1
ERBB4,VICC-01-DX1
ERCC4,VICC-01-DX1
ERG,VICC-01-DX1
ERRFI1,VICC-01-DX1
ESR1,VICC-01-DX1
ETV4,VICC-01-DX1
ETV5,VICC-01-DX1
ETV6,VICC-01-DX1
EWSR1,VICC-01-DX1
EZH2,VICC-01-DX1
EZR,VICC-01-DX1
FAM46C,VICC-01-DX1
FANCA,VICC-01-DX1
FANCC,VICC-01-DX1
FANCG,VICC-01-DX1
FANCL,VICC-01-DX1
FAS,VICC-01-DX1
FBXW7,VICC-01-DX1
FGF10,VICC-01-DX1
FGF12,VICC-01-DX1
FGF14,VICC-01-DX1
FGF19,VICC-01-DX1
FGF23,VICC-01-DX1
FGF3,VICC-01-DX1
FGF4,VICC-01-DX1
FGF6,VICC-01-DX1
FGFR1,VICC-01-DX1
FGFR2,VICC-01-DX1
FGFR3,VICC-01-DX1
FGFR4,VICC-01-DX1
FH,VICC-01-DX1
FLCN,VICC-01-DX1
FLT1,VICC-01-DX1
FLT3,VICC-01-DX1
FOXL2,VICC-01-DX1
FUBP1,VICC-01-DX1
GABRA6,VICC-01-DX1
GATA3,VICC-01-DX1
GATA4,VICC-01-DX1
GATA6,VICC-01-DX1
GID4,VICC-01-DX1
GNA11,VICC-01-DX1
GNA13,VICC-01-DX1
GNAQ,VICC-01-DX1
GNAS,VICC-01-DX1
GRM3,VICC-01-DX1
GSK3B,VICC-01-DX1
H3F3A,VICC-01-DX1
HDAC1,VICC-01-DX1
HGF,VICC-01-DX1
HNF1A,VICC-01-DX1
HRAS,VICC-01-DX1
HSD3B1,VICC-01-DX1
ID3,VICC-01-DX1
IDH1,VICC-01-DX1
IDH2,VICC-01-DX1
IGF1R,VICC-01-DX1
IKBKE,VICC-01-DX1
IKZF1,VICC-01-DX1
INPP4B,VICC-01-DX1
IRF2,VICC-01-DX1
IRF4,VICC-01-DX1
IRS2,VICC-01-DX1
JAK1,VICC-01-DX1
JAK2,VICC-01-DX1
JAK3,VICC-01-DX1
JUN,VICC-01-DX1
KDM5A,VICC-01-DX1
KDM5C,VICC-01-DX1
KDM6A,VICC-01-DX1
KDR,VICC-01-DX1
KEAP1,VICC-01-DX1
KEL,VICC-01-DX1
KIT,VICC-01-DX1
KLHL6,VICC-01-DX1
KMT2A,VICC-01-DX1
KMT2D,VICC-01-DX1
KRAS,VICC-01-DX1
LTK,VICC-01-DX1
LYN,VICC-01-DX1
MAF,VICC-01-DX1
MAP2K1,VICC-01-DX1
MAP2K2,VICC-01-DX1
MAP2K4,VICC-01-DX1
MAP3K13,VICC-01-DX1
MAP3K1,VICC-01-DX1
MAPK1,VICC-01-DX1
MCL1,VICC-01-DX1
MDM2,VICC-01-DX1
MDM4,VICC-01-DX1
MED12,VICC-01-DX1
MEF2B,VICC-01-DX1
MEN1,VICC-01-DX1
MERTK,VICC-01-DX1
MET,VICC-01-DX1
MITF,VICC-01-DX1
MKNK1,VICC-01-DX1
MLH1,VICC-01-DX1
MPL,VICC-01-DX1
MSH2,VICC-01-DX1
MSH3,VICC-01-DX1
MSH6,VICC-01-DX1
MST1R,VICC-01-DX1
MTAP,VICC-01-DX1
MTOR,VICC-01-DX1
MUTYH,VICC-01-DX1
MYB,VICC-01-DX1
MYCL,VICC-01-DX1
MYCN,VICC-01-DX1
MYC,VICC-01-DX1
MYD88,VICC-01-DX1
NBN,VICC-01-DX1
NF1,VICC-01-DX1
NF2,VICC-01-DX1
NFE2L2,VICC-01-DX1
NFKBIA,VICC-01-DX1
NKX2-1,VICC-01-DX1
NOTCH1,VICC-01-DX1
NOTCH2,VICC-01-DX1
NOTCH3,VICC-01-DX1
NPM1,VICC-01-DX1
NRAS,VICC-01-DX1
NT5C2,VICC-01-DX1
NTRK1,VICC-01-DX1
NTRK2,VICC-01-DX1
NTRK3,VICC-01-DX1
NUTM1,VICC-01-DX1
P2RY8,VICC-01-DX1
PALB2,VICC-01-DX1
PARP1,VICC-01-DX1
PARP2,VICC-01-DX1
PARP3,VICC-01-DX1
PAX5,VICC-01-DX1
PBRM1,VICC-01-DX1
PDCD1LG2,VICC-01-DX1
PDCD1,VICC-01-DX1
PDGFRA,VICC-01-DX1
PDGFRB,VICC-01-DX1
PDK1,VICC-01-DX1
PIK3C2B,VICC-01-DX1
PIK3C2G,VICC-01-DX1
PIK3CA,VICC-01-DX1
PIK3CB,VICC-01-DX1
PIK3R1,VICC-01-DX1
PIM1,VICC-01-DX1
PMS2,VICC-01-DX1
POLD1,VICC-01-DX1
POLE,VICC-01-DX1
PPARG,VICC-01-DX1
PPP2R1A,VICC-01-DX1
PPP2R2A,VICC-01-DX1
PRDM1,VICC-01-DX1
PRKAR1A,VICC-01-DX1
PRKCI,VICC-01-DX1
PTCH1,VICC-01-DX1
PTEN,VICC-01-DX1
PTPN11,VICC-01-DX1
PTPRO,VICC-01-DX1
QKI,VICC-01-DX1
RAC1,VICC-01-DX1
RAD21,VICC-01-DX1
RAD51B,VICC-01-DX1
RAD51C,VICC-01-DX1
RAD51D,VICC-01-DX1
RAD51,VICC-01-DX1
RAD52,VICC-01-DX1
RAD54L,VICC-01-DX1
RAF1,VICC-01-DX1
RARA,VICC-01-DX1
RB1,VICC-01-DX1
RBM10,VICC-01-DX1
REL,VICC-01-DX1
RET,VICC-01-DX1
RICTOR,VICC-01-DX1
RNF43,VICC-01-DX1
ROS1,VICC-01-DX1
RPTOR,VICC-01-DX1
RSPO2,VICC-01-DX1
SDC4,VICC-01-DX1
SDHA,VICC-01-DX1
SDHB,VICC-01-DX1
SDHC,VICC-01-DX1
SDHD,VICC-01-DX1
SETD2,VICC-01-DX1
SF3B1,VICC-01-DX1
SGK1,VICC-01-DX1
SLC34A2,VICC-01-DX1
SMAD2,VICC-01-DX1
SMAD4,VICC-01-DX1
SMARCA4,VICC-01-DX1
SMARCB1,VICC-01-DX1
SMO,VICC-01-DX1
SNCAIP,VICC-01-DX1
SOCS1,VICC-01-DX1
SOX2,VICC-01-DX1
SOX9,VICC-01-DX1
SPEN,VICC-01-DX1
SPOP,VICC-01-DX1
SRC,VICC-01-DX1
STAG2,VICC-01-DX1
STAT3,VICC-01-DX1
STK11,VICC-01-DX1
SUFU,VICC-01-DX1
SYK,VICC-01-DX1
TBX3,VICC-01-DX1
TEK,VICC-01-DX1
TERC,VICC-01-DX1
TET2,VICC-01-DX1
TGFBR2,VICC-01-DX1
TIPARP,VICC-01-DX1
TMPRSS2,VICC-01-DX1
TNFAIP3,VICC-01-DX1
TNFRSF14,VICC-01-DX1
TP53,VICC-01-DX1
TSC1,VICC-01-DX1
TSC2,VICC-01-DX1
TYRO3,VICC-01-DX1
U2AF1,VICC-01-DX1
VEGFA,VICC-01-DX1
VHL,VICC-01-DX1
WT1,VICC-01-DX1
XPO1,VICC-01-DX1
XRCC2,VICC-01-DX1
ZNF217,VICC-01-DX1
ZNF703,VICC-01-DX1
ABCB1,VICC-01-R2
ABI1,VICC-01-R2
ABL1,VICC-01-R2
ABL2,VICC-01-R2
ACSL6,VICC-01-R2
ACTB,VICC-01-R2
ACTG1,VICC-01-R2
AFF1,VICC-01-R2
AFF4,VICC-01-R2
AFP,VICC-01-R2
AKT1,VICC-01-R2
AKT2,VICC-01-R2
AKT3,VICC-01-R2
ALK,VICC-01-R2
ANPEP,VICC-01-R2
AP1B1,VICC-01-R2
ARF1,VICC-01-R2
ARHGAP26,VICC-01-R2
ARHGDIA,VICC-01-R2
ARHGEF12,VICC-01-R2
ARID1A,VICC-01-R2
