Hugo_Symbol,SEQ_ASSAY_ID
SMARCB1,FoundationOne
SMARCD1,FoundationOne
SMO,FoundationOne
SOCS1,FoundationOne
SOX10,FoundationOne
SOX2,FoundationOne
SPEN,FoundationOne
SPOP,FoundationOne
SRC,FoundationOne
STAG2,FoundationOne
STAT4,FoundationOne
STK11,FoundationOne
SUFU,FoundationOne
SYK,FoundationOne
TBX3,FoundationOne
TET2,FoundationOne
TGFBR2,FoundationOne
TIPARP,FoundationOne
TNFAIP3,FoundationOne
TNFRSF14,FoundationOne
TOP1,FoundationOne
TP53,FoundationOne
TRRAP,FoundationOne
TSC1,FoundationOne
TSC2,FoundationOne
TSHR,FoundationOne
VHL,FoundationOne
WISP3,FoundationOne
WT1,FoundationOne
XPO1,FoundationOne
XRCC3,FoundationOne
ZNF217,FoundationOne
ZNF703,FoundationOne
ALK,FoundationOne
ETV5,FoundationOne
RAF1,FoundationOne
BCR,FoundationOne
ETV6,FoundationOne
RARA,FoundationOne
BCL2,FoundationOne
EWSR1,FoundationOne
RET,FoundationOne
BRAF,FoundationOne
MLL,FoundationOne
ROS1,FoundationOne
EGFR,FoundationOne
MYC,FoundationOne
TMPRSS2,FoundationOne
ETV1,FoundationOne
NTRK1,FoundationOne
ETV4,FoundationOne
PDGFRA,FoundationOne
