Hugo_Symbol,SEQ_ASSAY_ID
ABL1,IMPACT410
ACVR1,IMPACT410
AKT1,IMPACT410
AKT2,IMPACT410
AKT3,IMPACT410
ALK,IMPACT410
ALOX12B,IMPACT410
AMER1,IMPACT410
ANKRD11,IMPACT410
APC,IMPACT410
AR,IMPACT410
ARAF,IMPACT410
ARID1A,IMPACT410
ARID1B,IMPACT410
ARID2,IMPACT410
ARID5B,IMPACT410
ASXL1,IMPACT410
ASXL2,IMPACT410
ATM,IMPACT410
ATR,IMPACT410
ATRX,IMPACT410
AURKA,IMPACT410
AURKB,IMPACT410
AXIN1,IMPACT410
AXIN2,IMPACT410
AXL,IMPACT410
B2M,IMPACT410
BAP1,IMPACT410
BARD1,IMPACT410
BBC3,IMPACT410
BCL10,IMPACT410
BCL2,IMPACT410
BCL2L1,IMPACT410
BCL2L11,IMPACT410
BCL6,IMPACT410
BCOR,IMPACT410
BIRC3,IMPACT410
BLM,IMPACT410
BMPR1A,IMPACT410
BRAF,IMPACT410
BRCA1,IMPACT410
BRCA2,IMPACT410
BRD4,IMPACT410
BRIP1,IMPACT410
BTK,IMPACT410
CALR,IMPACT410
CARD11,IMPACT410
CASP8,IMPACT410
CBFB,IMPACT410
CBL,IMPACT410
CCND1,IMPACT410
CCND2,IMPACT410
CCND3,IMPACT410
CCNE1,IMPACT410
CD274,IMPACT410
CD276,IMPACT410
CD79A,IMPACT410
CD79B,IMPACT410
CDC73,IMPACT410
CDH1,IMPACT410
CDK12,IMPACT410
CDK4,IMPACT410
CDK6,IMPACT410
CDK8,IMPACT410
CDKN1A,IMPACT410
CDKN1B,IMPACT410
CDKN2A,IMPACT410
CDKN2B,IMPACT410
CDKN2C,IMPACT410
CEBPA,IMPACT410
CENPA,IMPACT410
CHEK1,IMPACT410
CHEK2,IMPACT410
CIC,IMPACT410
CREBBP,IMPACT410
CRKL,IMPACT410
CRLF2,IMPACT410
CSF1R,IMPACT410
CSF3R,IMPACT410
CTCF,IMPACT410
CTLA4,IMPACT410
CTNNB1,IMPACT410
CUL3,IMPACT410
CXCR4,IMPACT410
DAXX,IMPACT410
DCUN1D1,IMPACT410
DDR2,IMPACT410
DICER1,IMPACT410
DIS3,IMPACT410
DNAJB1,IMPACT410
DNMT1,IMPACT410
DNMT3A,IMPACT410
DNMT3B,IMPACT410
DOT1L,IMPACT410
E2F3,IMPACT410
EED,IMPACT410
EGFL7,IMPACT410
EGFR,IMPACT410
EIF1AX,IMPACT410
EIF4A2,IMPACT410
EIF4E,IMPACT410
EP300,IMPACT410
EPCAM,IMPACT410
EPHA3,IMPACT410
EPHA5,IMPACT410
EPHA7,IMPACT410
EPHB1,IMPACT410
ERBB2,IMPACT410
ERBB3,IMPACT410
ERBB4,IMPACT410
ERCC2,IMPACT410
ERCC3,IMPACT410
ERCC4,IMPACT410
ERCC5,IMPACT410
ERG,IMPACT410
ERRFI1,IMPACT410
ESR1,IMPACT410
ETV1,IMPACT410
ETV6,IMPACT410
EZH2,IMPACT410
