Hugo_Symbol,SEQ_ASSAY_ID
MAST3,TSP
MAST4,TSP
MASTL,TSP
MATK,TSP
MDM2,TSP
MDM4,TSP
MEN1,TSP
MERTK,TSP
MET,TSP
MGC16703,TSP
MINK1,TSP
MKNK1,TSP
MKNK2,TSP
MLH1,TSP
MLKL,TSP
MLL,TSP
MON1A,TSP
MOS,TSP
MPL,TSP
MRAS,TSP
MSH2,TSP
MSH6,TSP
MST1,TSP
MST1R,TSP
MST4,TSP
MUSK,TSP
MYB,TSP
MYBL1,TSP
MYBL2,TSP
MYC,TSP
MYCL1,TSP
MYCN,TSP
MYO3A,TSP
MYO3B,TSP
MYT1,TSP
NCK1,TSP
NCK2,TSP
NCYM,TSP
NF1,TSP
NF2,TSP
NFKB1,TSP
NLK,TSP
NOTCH1,TSP
NOTCH2,TSP
NOTCH2NL,TSP
NOTCH3,TSP
NOTCH4,TSP
NRAS,TSP
NRK,TSP
NTRK1,TSP
NTRK2,TSP
NTRK3,TSP
OSR1,TSP
P2RXL1,TSP
P2RY5,TSP
PAK1,TSP
PAK2,TSP
PAK3,TSP
PAK4,TSP
PAK6,TSP
PAK7,TSP
PASK,TSP
PCQAP,TSP
PCTK1,TSP
PCTK2,TSP
PCTK3,TSP
PDGFB,TSP
PDGFRA,TSP
PDGFRB,TSP
PDK1,TSP
PFTK1,TSP
PHOX2B,TSP
PIK3C2A,TSP
PIK3C2B,TSP
PIK3C2G,TSP
PIK3C3,TSP
PIK3CA,TSP
PIK3CB,TSP
PIK3CD,TSP
PIK3CG,TSP
PIK3R1,TSP
PIK3R2,TSP
PIK3R3,TSP
PIK3R4,TSP
PIK4CA,TSP
PIM1,TSP
PIM2,TSP
PIM3,TSP
PINX1,TSP
PKN1,TSP
PKN2,TSP
PKN3,TSP
PLCG1,TSP
PLCG2,TSP
PRKAB1,TSP
PRKACA,TSP
PRKACB,TSP
PRKACG,TSP
PRKAR1A,TSP
PRKCA,TSP
PRKCB1,TSP
PRKCD,TSP
PRKCE,TSP
PRKCG,TSP
PRKCH,TSP
PRKCI,TSP
PRKCQ,TSP
PRKCZ,TSP
PRKD1,TSP
PRKD3,TSP
PRKDC,TSP
PRKG1,TSP
PRKG2,TSP
PRKX,TSP
PRKY,TSP
PTCH,TSP
PTCH2,TSP
PTEN,TSP
PTK2,TSP
PTK2B,TSP
PTK7,TSP
PTPN11,TSP
PTPRD,TSP
PTPRG,TSP
RAB43,TSP
RAF1,TSP
RAGE,TSP
RALA,TSP
RALB,TSP
RAN,TSP
RANBP9,TSP
RAP1A,TSP
RAP1B,TSP
RAP2A,TSP
RAP2B,TSP
RAP2C,TSP
RAPGEF1,TSP
RAPTOR,TSP
RARB,TSP
RASEF,TSP
RASSF1,TSP
RASSF2,TSP
RASSF3,TSP
RB1,TSP
RBL1,TSP
RBL2,TSP
RBM5,TSP
RBM6,TSP
RCBTB2,TSP
REEP5,TSP
REL,TSP
RELA,TSP
RELB,TSP
RET,TSP
RHEB,TSP
RHOA,TSP
RHOB,TSP
RHOBTB2,TSP
RHOC,TSP
RICTOR,TSP
RIN1,TSP
RIPK1,TSP
RIPK2,TSP
RIPK3,TSP
RIPK4,TSP
ROBO1,TSP
ROBO2,TSP
ROCK1,TSP
ROCK2,TSP
ROR1,TSP
ROR2,TSP
RPS6KA1,TSP
RPS6KA2,TSP
RPS6KA3,TSP
RPS6KA4,TSP
RPS6KA5,TSP
RPS6KA6,TSP
RPS6KB1,TSP
RPS6KB2,TSP
RPSA,TSP
RRAS,TSP
RRAS2,TSP
RUNX1,TSP
RUNX2,TSP
RUNX3,TSP
RYK,TSP
SCARF2,TSP
SEMA3B,TSP
SEMA3F,TSP
SERPIND1,TSP
SGK,TSP
SGK2,TSP
SGKL,TSP
SHC1,TSP
SHC2,TSP
SHC3,TSP
SHH,TSP
SIAH1,TSP
SKI,TSP
SLA,TSP
SLC38A3,TSP
SLC7A4,TSP
SLK,TSP
SMAD1,TSP
SMAD2,TSP
SMAD3,TSP
SMAD4,TSP
SMAD5,TSP
SMAD6,TSP
SMAD7,TSP
SMAD9,TSP
SMG1,TSP
SMO,TSP
SNAP29,TSP
SOS1,TSP
SOS2,TSP
SRC,TSP
SRMS,TSP
STAT1,TSP
STAT2,TSP
STAT3,TSP
STAT4,TSP
STAT5A,TSP
STAT5B,TSP
STAT6,TSP
STK10,TSP
STK11,TSP
STK23,TSP
STK24,TSP
STK25,TSP
STK3,TSP
STK32A,TSP
STK32B,TSP
STK32C,TSP
STK36,TSP
STK38,TSP
STK38L,TSP
STK39,TSP
STK6,TSP
STYK1,TSP
SUCNR1,TSP
SUFU,TSP
SYK,TSP
TAOK1,TSP
TAOK2,TSP
TAOK3,TSP
TBK1,TSP
TCF1,TSP
TEC,TSP
TEK,TSP
TERT,TSP
TESK1,TSP
TESK2,TSP
TFDP1,TSP
