Hugo_Symbol,SEQ_ASSAY_ID
MDM2,IMPACT341
MDM4,IMPACT341
MED12,IMPACT341
MEF2B,IMPACT341
MEN1,IMPACT341
MET,IMPACT341
MITF,IMPACT341
MLH1,IMPACT341
MPL,IMPACT341
MRE11,IMPACT341
MSH2,IMPACT341
MSH6,IMPACT341
MTOR,IMPACT341
MUTYH,IMPACT341
MYC,IMPACT341
MYCL,IMPACT341
MYCN,IMPACT341
MYD88,IMPACT341
MYOD1,IMPACT341
NBN,IMPACT341
NCOR1,IMPACT341
NF1,IMPACT341
NF2,IMPACT341
NFE2L2,IMPACT341
NKX2-1,IMPACT341
NKX3-1,IMPACT341
NOTCH1,IMPACT341
NOTCH2,IMPACT341
NOTCH3,IMPACT341
NOTCH4,IMPACT341
NPM1,IMPACT341
NRAS,IMPACT341
NSD1,IMPACT341
NTRK1,IMPACT341
NTRK2,IMPACT341
NTRK3,IMPACT341
PAK1,IMPACT341
PAK5,IMPACT341
PALB2,IMPACT341
PARK2,IMPACT341
PARP1,IMPACT341
PAX5,IMPACT341
PBRM1,IMPACT341
PDCD1,IMPACT341
PDGFRA,IMPACT341
PDGFRB,IMPACT341
PDPK1,IMPACT341
PHOX2B,IMPACT341
PIK3C2G,IMPACT341
PIK3C3,IMPACT341
PIK3CA,IMPACT341
PIK3CB,IMPACT341
PIK3CD,IMPACT341
PIK3CG,IMPACT341
PIK3R1,IMPACT341
PIK3R2,IMPACT341
PIK3R3,IMPACT341
PIM1,IMPACT341
PLK2,IMPACT341
PMAIP1,IMPACT341
PMS1,IMPACT341
PMS2,IMPACT341
PNRC1,IMPACT341
POLE,IMPACT341
PPP2R1A,IMPACT341
PRDM1,IMPACT341
PRKAR1A,IMPACT341
PTCH1,IMPACT341
PTEN,IMPACT341
PTPN11,IMPACT341
PTPRD,IMPACT341
PTPRS,IMPACT341
PTPRT,IMPACT341
RAC1,IMPACT341
RAD50,IMPACT341
RAD51,IMPACT341
RAD51B,IMPACT341
RAD51C,IMPACT341
RAD51D,IMPACT341
RAD52,IMPACT341
RAD54L,IMPACT341
RAF1,IMPACT341
RARA,IMPACT341
RASA1,IMPACT341
RB1,IMPACT341
RBM10,IMPACT341
RECQL4,IMPACT341
REL,IMPACT341
RET,IMPACT341
RFWD2,IMPACT341
RHOA,IMPACT341
RICTOR,IMPACT341
RIT1,IMPACT341
RNF43,IMPACT341
ROS1,IMPACT341
RPS6KA4,IMPACT341
RPS6KB2,IMPACT341
RPTOR,IMPACT341
RUNX1,IMPACT341
RYBP,IMPACT341
SDHA,IMPACT341
SDHAF2,IMPACT341
SDHB,IMPACT341
SDHC,IMPACT341
SDHD,IMPACT341
SETD2,IMPACT341
SF3B1,IMPACT341
SH2D1A,IMPACT341
SHQ1,IMPACT341
SMAD2,IMPACT341
SMAD3,IMPACT341
SMAD4,IMPACT341
SMARCA4,IMPACT341
SMARCB1,IMPACT341
SMARCD1,IMPACT341
SMO,IMPACT341
SOCS1,IMPACT341
SOX17,IMPACT341
SOX2,IMPACT341
SOX9,IMPACT341
SPEN,IMPACT341
SPOP,IMPACT341
SRC,IMPACT341
STAG2,IMPACT341
STK11,IMPACT341
STK40,IMPACT341
SUFU,IMPACT341
SUZ12,IMPACT341
SYK,IMPACT341
TBX3,IMPACT341
TERT,IMPACT341
TET1,IMPACT341
TET2,IMPACT341
TGFBR1,IMPACT341
TGFBR2,IMPACT341
TMEM127,IMPACT341
TMPRSS2,IMPACT341
TNFAIP3,IMPACT341
TNFRSF14,IMPACT341
TOP1,IMPACT341
TP53,IMPACT341
TP63,IMPACT341
TRAF7,IMPACT341
TSC1,IMPACT341
TSC2,IMPACT341
TSHR,IMPACT341
U2AF1,IMPACT341
VHL,IMPACT341
VTCN1,IMPACT341
WT1,IMPACT341
XIAP,IMPACT341
XPO1,IMPACT341
YAP1,IMPACT341
YES1,IMPACT341
